sentence,target,aspect,sentiment
Royal Mail chairman Donald Brydon set to step down,Royal Mail,Corporate,-0.374
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,AstraZeneca,Corporate,-0.24
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,Morrisons,Corporate,-0.161
Insight hires Aviva's David Hillier for multi-asset team,Insight,Corporate,0.137
Primark racks up a happy Christmas after strong sales,Primark,Corporate,0.704
UPDATE 1-Pearson expects to grow this year after solid end to 2014,Pearson,Stock,0.446
Tesco sells Blinkbox and broadband service to TalkTalk,TalkTalk,Corporate,0.136
Tesco sells Blinkbox and broadband service to TalkTalk,Tesco,Corporate,0.192
Unilever profit rises despite sales slump in China,Unilever,Corporate,0.213
Tesco leads leap in FTSE 100; Marks & Spencer drops,Tesco,Stock,0.389
Royal Dutch Shell profit rises; dividend up 4%,Royal Dutch Shell,Corporate,0.65
Morning Agenda: Shire's Deal for NPS,Shire,Corporate,0.195
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,China Merchants Group,Corporate,0.119
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,AstraZeneca,Corporate,0.242
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,Teva,Corporate,0.476
Passengers rise at EasyJet and Aer Lingus,EasyJet,Corporate,0.329
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,Blinkbox,Corporate,-0.195
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,Tesco,Corporate,-0.335
"FDA approves NPS drug, in move validating Shire takeover deal",Shire,Corporate,0.332
Ocwen Reaches Settlement With California Regulator,Ocwen,Corporate,0.171
Morrisons faces festive sales test,Morrisons,Corporate,-0.113
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,Blinkbox,Stock,-0.357
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,Tesco,Stock,-0.389
Shire to buy NPS for $5.2 billion to boost rare disease drugs,Shire,Corporate,0.235
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,Omnis Pharmaceuticals,Corporate,0.295
FDA approves Shire's Vyvanse for binge-eating disorder,Shire,Corporate,0.291
Companies Thetrainline.com announces arrival of London IPO,Thetrainline.com,Stock,0.245
Breakingviews: IAG can pay more for Aer Lingus,IAG,Corporate,0.12
Tesco share price jumps as Q3 sales top estimates,Tesco,Stock,0.719
CRH's concrete bid for Holcim Lafarge assets,Holcim Lafarge,Stock,0.282
Persimmon share price climbs on 23% rise in full-year revenue,Persimmon,Stock,0.975
Ruling sets lower limit on potential fine for BP,BP,Corporate,-0.261
