sentence,sentiment,target_enc,aspect_enc
Royal Mail chairman Donald Brydon set to step down,-0.374,0,0
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,-0.24,1,0
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,-0.161,2,0
Insight hires Aviva's David Hillier for multi-asset team,0.137,3,0
Primark racks up a happy Christmas after strong sales,0.704,4,0
UPDATE 1-Pearson expects to grow this year after solid end to 2014,0.446,5,1
Tesco sells Blinkbox and broadband service to TalkTalk,"0.136,0.192","6,7","0,0"
Unilever profit rises despite sales slump in China,0.213,8,0
Tesco leads leap in FTSE 100; Marks & Spencer drops,0.389,7,1
Royal Dutch Shell profit rises; dividend up 4%,0.65,9,0
Morning Agenda: Shire's Deal for NPS,0.195,10,0
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,0.119,11,0
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,"0.242,0.476","1,12","0,0"
Passengers rise at EasyJet and Aer Lingus,0.329,13,0
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,"-0.195,-0.335","14,7","0,0"
"FDA approves NPS drug, in move validating Shire takeover deal",0.332,10,0
Ocwen Reaches Settlement With California Regulator,0.171,15,0
Morrisons faces festive sales test,-0.113,2,0
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,"-0.357,-0.389","14,7","1,1"
Shire to buy NPS for $5.2 billion to boost rare disease drugs,0.235,10,0
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,0.295,16,0
FDA approves Shire's Vyvanse for binge-eating disorder,0.291,10,0
Companies Thetrainline.com announces arrival of London IPO,0.245,17,1
Breakingviews: IAG can pay more for Aer Lingus,0.12,18,0
Tesco share price jumps as Q3 sales top estimates,0.719,7,1
CRH's concrete bid for Holcim Lafarge assets,0.282,19,1
Persimmon share price climbs on 23% rise in full-year revenue,0.975,20,1
Ruling sets lower limit on potential fine for BP,-0.261,21,0
Reed Elsevier share price slides on underwhelming full-year results,-0.526,22,1
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,0.021,23,1
Slump in Weir leads FTSE down from record high,-0.827,24,2
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,0.401,25,0
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,0.522,26,0
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,0.189,27,0
Meggitt share price tumbles as profit falls in 'challenging year',-0.854,23,1
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,-0.12,28,2
ARM Royalties Accelerate as Smartphone Market Regains Strength,0.571,29,2
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,0.101,30,0
BG Group appoints new CEO one month early,0.069,31,0
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",-0.314,32,0
U.S. Debt Lures Schroders as ECB Depresses Rates,0.048,33,3
Tullow Oil Suspends Dividend Amid Oil Price Fall,-0.498,34,0
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",-0.402,9,0
Standard Chartered lags on capital worries,-0.358,35,0
Standard Life share price: Insurer buys advice firm Pearson Jones,0.364,36,0
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,"0.129,0.295","37,7","0,0"
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,0.495,38,1
RBS will reportedly appoint Howard Davies as its next chairman,0.089,39,0
HSBC Hit by Fresh Details of Tax Evasion Claims,-0.594,40,0
Relief for Lewis as Tesco sees sales grow for first time in a year,0.42,7,0
Morrisons finance chief to fill gap as CEO leaves early,-0.114,2,0
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",0.937,20,1
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,0.365,41,0
Tesco shareholders back ITV head for chairman,0.139,7,0
"Buffett's Berkshire builds Deere stake, dumps Exxon","0.316,-0.548","42,43","1,1"
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,-0.675,44,0
AstraZeneca's patent on asthma drug invalidated by US court,-0.656,1,0
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,-0.075,45,0
Whitbread share price climbs on Q4 sales growth,0.513,46,1
Warren Buffett defends Berkshire Hathaway's conglomerate structure,0.144,47,0
G4S sees profits rise but UK contract problems remain,0.252,48,0
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,0.387,49,0
Auto Trader share price surges as company floats on LSE,0.655,50,1
New Credit Suisse boss faces stiff challenge in Asia,-0.181,51,0
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February","0.284,0.315","52,13","0,0"
Is It Worth Investing In Tesco PLC And Prudential plc Now?,0.161,53,0
