sentence,target
Royal Mail chairman Donald Brydon set to step down,"[{""target"":""Royal Mail"",""aspect"":""Corporate"",""sentiment"":-0.374}]"
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":-0.24}]"
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,"[{""target"":""Morrisons"",""aspect"":""Corporate"",""sentiment"":-0.161}]"
Insight hires Aviva's David Hillier for multi-asset team,"[{""target"":""Insight"",""aspect"":""Corporate"",""sentiment"":0.137}]"
Primark racks up a happy Christmas after strong sales,"[{""target"":""Primark"",""aspect"":""Corporate"",""sentiment"":0.704}]"
UPDATE 1-Pearson expects to grow this year after solid end to 2014,"[{""target"":""Pearson"",""aspect"":""Stock"",""sentiment"":0.446}]"
Tesco sells Blinkbox and broadband service to TalkTalk,"[{""target"":""TalkTalk"",""aspect"":""Corporate"",""sentiment"":0.136},{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":0.192}]"
Unilever profit rises despite sales slump in China,"[{""target"":""Unilever"",""aspect"":""Corporate"",""sentiment"":0.213}]"
Tesco leads leap in FTSE 100; Marks & Spencer drops,"[{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":0.389}]"
Royal Dutch Shell profit rises; dividend up 4%,"[{""target"":""Royal Dutch Shell"",""aspect"":""Corporate"",""sentiment"":0.65}]"
Morning Agenda: Shire's Deal for NPS,"[{""target"":""Shire"",""aspect"":""Corporate"",""sentiment"":0.195}]"
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,"[{""target"":""China Merchants Group"",""aspect"":""Corporate"",""sentiment"":0.119}]"
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":0.242},{""target"":""Teva"",""aspect"":""Corporate"",""sentiment"":0.476}]"
Passengers rise at EasyJet and Aer Lingus,"[{""target"":""EasyJet"",""aspect"":""Corporate"",""sentiment"":0.329}]"
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,"[{""target"":""Blinkbox"",""aspect"":""Corporate"",""sentiment"":-0.195},{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":-0.335}]"
"FDA approves NPS drug, in move validating Shire takeover deal","[{""target"":""Shire"",""aspect"":""Corporate"",""sentiment"":0.332}]"
Ocwen Reaches Settlement With California Regulator,"[{""target"":""Ocwen"",""aspect"":""Corporate"",""sentiment"":0.171}]"
Morrisons faces festive sales test,"[{""target"":""Morrisons"",""aspect"":""Corporate"",""sentiment"":-0.113}]"
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,"[{""target"":""Blinkbox"",""aspect"":""Stock"",""sentiment"":-0.357},{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":-0.389}]"
Shire to buy NPS for $5.2 billion to boost rare disease drugs,"[{""target"":""Shire"",""aspect"":""Corporate"",""sentiment"":0.235}]"
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,"[{""target"":""Omnis Pharmaceuticals"",""aspect"":""Corporate"",""sentiment"":0.295}]"
FDA approves Shire's Vyvanse for binge-eating disorder,"[{""target"":""Shire"",""aspect"":""Corporate"",""sentiment"":0.291}]"
